Instruction { opcode: 13, reg_a: 0, reg_b: 7, reg_c: 3, reg_load: 7, load_value: 59 } 233
Instruction { opcode: 1, reg_a: 1, reg_b: 6, reg_c: 7, reg_load: 0, load_value: 119 } 234
Instruction { opcode: 13, reg_a: 3, reg_b: 1, reg_c: 7, reg_load: 3, load_value: 207 } 235
Instruction { opcode: 13, reg_a: 3, reg_b: 5, reg_c: 7, reg_load: 4, load_value: 239 } 236
Instruction { opcode: 0, reg_a: 3, reg_b: 4, reg_c: 1, reg_load: 0, load_value: 225 } 237
Instruction { opcode: 12, reg_a: 0, reg_b: 6, reg_c: 3, reg_load: 0, load_value: 51 } 238
Instruction { opcode: 6, reg_a: 0, reg_b: 6, reg_c: 6, reg_load: 0, load_value: 54 } 239
Instruction { opcode: 3, reg_a: 1, reg_b: 0, reg_c: 1, reg_load: 0, load_value: 65 } 240
Instruction { opcode: 13, reg_a: 0, reg_b: 7, reg_c: 3, reg_load: 7, load_value: 59 } 241
Instruction { opcode: 2, reg_a: 6, reg_b: 7, reg_c: 1, reg_load: 0, load_value: 441 } 242
Instruction { opcode: 13, reg_a: 0, reg_b: 7, reg_c: 2, reg_load: 7, load_value: 58 } 243
Instruction { opcode: 1, reg_a: 3, reg_b: 6, reg_c: 7, reg_load: 0, load_value: 247 } 244
Instruction { opcode: 13, reg_a: 0, reg_b: 0, reg_c: 1, reg_load: 0, load_value: 1 } 245
Instruction { opcode: 3, reg_a: 2, reg_b: 0, reg_c: 3, reg_load: 0, load_value: 131 } 246
Instruction { opcode: 13, reg_a: 0, reg_b: 7, reg_c: 2, reg_load: 7, load_value: 58 } 247
Instruction { opcode: 2, reg_a: 6, reg_b: 7, reg_c: 2, reg_load: 0, load_value: 442 } 248
Instruction { opcode: 13, reg_a: 4, reg_b: 0, reg_c: 2, reg_load: 0, load_value: 258 } 249
Instruction { opcode: 12, reg_a: 0, reg_b: 6, reg_c: 0, reg_load: 0, load_value: 48 } 250
Instruction { opcode: 13, reg_a: 0, reg_b: 7, reg_c: 1, reg_load: 7, load_value: 57 } 258
Instruction { opcode: 1, reg_a: 4, reg_b: 6, reg_c: 7, reg_load: 0, load_value: 311 } 259
Instruction { opcode: 13, reg_a: 0, reg_b: 0, reg_c: 3, reg_load: 2, load_value: 3 } 260
Instruction { opcode: 6, reg_a: 1, reg_b: 4, reg_c: 2, reg_load: 0, load_value: 98 } 261
Instruction { opcode: 6, reg_a: 1, reg_b: 1, reg_c: 1, reg_load: 0, load_value: 73 } 262
Instruction { opcode: 13, reg_a: 0, reg_b: 0, reg_c: 4, reg_load: 2, load_value: 4 } 263
Instruction { opcode: 6, reg_a: 7, reg_b: 1, reg_c: 1, reg_load: 0, load_value: 457 } 264
Instruction { opcode: 3, reg_a: 1, reg_b: 2, reg_c: 7, reg_load: 0, load_value: 87 } 265
Instruction { opcode: 13, reg_a: 0, reg_b: 0, reg_c: 1, reg_load: 7, load_value: 1 } 266
Instruction { opcode: 3, reg_a: 1, reg_b: 7, reg_c: 1, reg_load: 0, load_value: 121 } 267
Instruction { opcode: 5, reg_a: 4, reg_b: 4, reg_c: 2, reg_load: 0, load_value: 290 } 268
Instruction { opcode: 5, reg_a: 0, reg_b: 3, reg_c: 2, reg_load: 0, load_value: 26 } 269
Instruction { opcode: 6, reg_a: 7, reg_b: 0, reg_c: 0, reg_load: 0, load_value: 448 } 270
Instruction { opcode: 3, reg_a: 5, reg_b: 4, reg_c: 7, reg_load: 0, load_value: 359 } 271
Instruction { opcode: 13, reg_a: 0, reg_b: 0, reg_c: 1, reg_load: 7, load_value: 1 } 272
Instruction { opcode: 3, reg_a: 5, reg_b: 7, reg_c: 5, reg_load: 0, load_value: 381 } 273
Instruction { opcode: 0, reg_a: 1, reg_b: 6, reg_c: 5, reg_load: 0, load_value: 117 } 274
Instruction { opcode: 13, reg_a: 0, reg_b: 5, reg_c: 4, reg_load: 7, load_value: 44 } 275
Instruction { opcode: 1, reg_a: 4, reg_b: 6, reg_c: 7, reg_load: 0, load_value: 311 } 276
Instruction { opcode: 1, reg_a: 0, reg_b: 4, reg_c: 0, reg_load: 0, load_value: 32 } 277
Instruction { opcode: 13, reg_a: 0, reg_b: 0, reg_c: 3, reg_load: 2, load_value: 3 } 278
Instruction { opcode: 6, reg_a: 3, reg_b: 3, reg_c: 2, reg_load: 0, load_value: 218 } 279
Instruction { opcode: 6, reg_a: 3, reg_b: 3, reg_c: 3, reg_load: 0, load_value: 219 } 280
Instruction { opcode: 6, reg_a: 7, reg_b: 3, reg_c: 3, reg_load: 0, load_value: 475 } 281
Instruction { opcode: 3, reg_a: 3, reg_b: 2, reg_c: 7, reg_load: 0, load_value: 215 } 282
Instruction { opcode: 13, reg_a: 0, reg_b: 0, reg_c: 1, reg_load: 7, load_value: 1 } 283
Instruction { opcode: 3, reg_a: 3, reg_b: 7, reg_c: 3, reg_load: 0, load_value: 251 } 284
Instruction { opcode: 6, reg_a: 7, reg_b: 1, reg_c: 1, reg_load: 0, load_value: 457 } 285
Instruction { opcode: 3, reg_a: 3, reg_b: 3, reg_c: 7, reg_load: 0, load_value: 223 } 286
Instruction { opcode: 13, reg_a: 0, reg_b: 0, reg_c: 1, reg_load: 7, load_value: 1 } 287
Instruction { opcode: 3, reg_a: 3, reg_b: 7, reg_c: 3, reg_load: 0, load_value: 251 } 288
Instruction { opcode: 13, reg_a: 0, reg_b: 4, reg_c: 6, reg_load: 1, load_value: 38 } 289
Instruction { opcode: 3, reg_a: 1, reg_b: 1, reg_c: 3, reg_load: 0, load_value: 75 } 290
Instruction { opcode: 1, reg_a: 3, reg_b: 6, reg_c: 1, reg_load: 0, load_value: 241 } 291
Instruction { opcode: 5, reg_a: 0, reg_b: 0, reg_c: 3, reg_load: 0, load_value: 3 } 292
Instruction { opcode: 13, reg_a: 3, reg_b: 7, reg_c: 7, reg_load: 2, load_value: 255 } 293
Instruction { opcode: 6, reg_a: 1, reg_b: 2, reg_c: 0, reg_load: 0, load_value: 80 } 294
Instruction { opcode: 6, reg_a: 1, reg_b: 1, reg_c: 1, reg_load: 0, load_value: 73 } 295
Instruction { opcode: 13, reg_a: 3, reg_b: 7, reg_c: 3, reg_load: 0, load_value: 251 } 296
Instruction { opcode: 12, reg_a: 0, reg_b: 6, reg_c: 0, reg_load: 0, load_value: 48 } 297
Instruction { opcode: 13, reg_a: 0, reg_b: 7, reg_c: 0, reg_load: 7, load_value: 56 } 251
